squirrel_id,trapping_id,year,vial_number,poop_id,poop_time,comments,problem_duplicate
21934,146287,2017,1,2070,1041,PV 2070; PT 1041h,FALSE
19275,124779,2015,1,2075,,PV 2075,FALSE
11775,125033,2015,1,2085,1308,PV: 2085 PT: 13:08,FALSE
8733,75494,2007,1,21-07,1022,,FALSE
19275,146516,2017,1,2107,917,PV 2107; PT 0917h,FALSE
22457,137455,2016,1,2143,905,PV 2143; PT 0905,FALSE
13293,146320,2017,1,2159,1021,PV 2159; PT 1021h,FALSE
20062,125034,2015,1,2166,1316,PV: 2166 PT: 13:16,FALSE
21049,125040,2015,1,2183,1439,PV: 2183 PT: 14:39,FALSE
8733,76243,2007,1,22-07,958,"Not preg (=palpated, P0)",FALSE
8733,76804,2007,1,23-07,,"Not preg (=palpated, P0)",FALSE
21174,144661,2017,1,2309,1015,PV 2309; PT 1015h,FALSE
8619,74329,2007,1,24-07,1121,,FALSE
20655,125307,2015,1,2401,1415,PV 2401; PT 1415h; Not handled,FALSE
8619,74666,2007,1,25-07,1201,,FALSE
21436,141184,2016,1,2528,848,PV 2528; PT 0848H,FALSE
21007,125501,2015,1,2594,,PV 2594,FALSE
8619,74876,2007,1,26-07,1000,Did not weigh,FALSE
21039,137641,2016,1,2662,1109,PV 2662; PT 1109,FALSE
8619,76369,2007,1,27-07,1115,Not preg (P0),FALSE
20685,147618,2017,1,2708,933,PV 2708; PT 0933h,FALSE
20297,147617,2017,1,2721,1109,PV 2721; PT 1109h,FALSE
12072,148634,2017,1,2729,923,PV 2729; PT 0923h; HT 9 s,FALSE
8619,76803,2007,1,28-07,,"Not preg (=palpated, P0)",FALSE
20229,149783,2017,1,2839,1047,PV 2839; PT 1047h; HT 20 s; SW170301,FALSE
19509,129185,2015,1,2872,1123,PV 2872; PT 1123h,FALSE
7603,73692,2007,1,29-07,,,FALSE
20732,147056,2017,1,2920,853,PV 2920; PT 0853h,FALSE
8733,69592,2006,1,3-06,,RMR non-br,FALSE
7833,73926,2007,1,3-07,,,FALSE
7603,73858,2007,1,30-07,,,FALSE
21603,141187,2016,1,3002,1142,PV 3002; PT 1142H,FALSE
22507,141181,2016,1,3039,1125,PV 3039; PT 1125H,FALSE
7603,74326,2007,1,31-07,1126,,FALSE
11720,129500,2015,1,3114,935,PV3114 PT 9:35,FALSE
20729,139469,2016,1,3115,1109,PV 3115; PT 1109,FALSE
20289,129539,2015,1,3192,1040,PV 3192 PT 1040. BLED,FALSE
7603,74659,2007,1,32-07,840,,FALSE
13129,138380,2016,1,3284,821,PV 3284; PT 0821,FALSE
7603,75036,2007,1,33-07,1036,J14 midden,FALSE
13228,131479,2015,1,3372,845,PV 3372; PT 845,FALSE
7837,74433,2007,1,34-07,934,,FALSE
20750,137384,2016,1,3486,858,PV 3486; PT 0858h,FALSE
7837,74574,2007,1,35-07,821,,FALSE
12095,148556,2017,1,3505,1200,"PV 3505 PT 1200
HT 14",FALSE
21795,138736,2016,1,3535,947,PV 3535; PT 947h,FALSE
22390,138869,2016,1,3561,951,PV 3561; PT 0951h,FALSE
10181,73440,2007,1,36-07,,,FALSE
20182,138322,2016,1,3602,1139,PV 3602; PT 1139,FALSE
20788,148516,2017,1,3632,1151,PV 3632; PT 1151h; HT 11 s,FALSE
21239,132119,2016,1,3638,1522,"Axy on 
PV 3638
PT 1522",FALSE
13228,138733,2016,1,3670,1022,PV 3670; PT 1022h,FALSE
22893,148652,2017,1,3693,1118,PV 3693; PT 1118h; HT 13 s,FALSE
10181,73804,2007,1,37-07,,,FALSE
11921,138627,2016,1,3772,1140,PV 3772; T 1140,FALSE
10181,74096,2007,1,38-07,1046,,FALSE
13208,138665,2016,1,3805,952,PV 3805; PT952h,FALSE
20634,132088,2015,1,3806,1224,"Axy on
PV 3806
PT 1224",FALSE
19981,132120,2016,1,3808,1532,"Axy on 
PV 3808
PT 1532",FALSE
21239,139278,2016,1,3835,958,PV 3835; PT 0958,FALSE
10318,74705,2007,1,39-07,1214,,FALSE
20753,131542,2015,1,3901,1014,PV 3901; PT 1014,FALSE
8733,70083,2006,1,4-06,951,FMR I.849. F2. O2 951,FALSE
7833,74262,2007,1,4-07,824,Escaped,FALSE
10318,75134,2007,1,40-07,715,Got milk,FALSE
19962,132082,2015,1,4003,1332,"Axy on
PV 4003
PT 1332",FALSE
12604,139914,2016,1,4010,901,PV 4010 ; PT 0901h,FALSE
21299,132469,2016,1,4035,1331,PV 4035; PT 1331h,FALSE
22224,139193,2016,1,4053,924,PV 4053; PT 0924h,FALSE
19334,132080,2015,1,4066,1313,"Axy on
PV 4066
PT 1313",FALSE
10181,75130,2007,1,41-07,1250,LL? No weight (Pesola broke).,FALSE
7836,73507,2007,1,42-07,,,FALSE
7836,74143,2007,1,43-07,1000,,FALSE
7836,74617,2007,1,44-07,1006,"NOT SURE IF LAC, NO MILK, NIPS CRUSTY",FALSE
7836,75046,2007,1,45-07,956,E7 midden,FALSE
7836,75489,2007,1,46-07,940,,FALSE
7836,75851,2007,1,47-07,1112,"Not preg (=palpated, P0)",FALSE
7836,76308,2007,1,48-07,1030,"Not preg (=palpated, P0)",FALSE
7836,76752,2007,1,49-07,1030,"Rmvd 151589. Tcrn st 14jul, palpated P0",FALSE
7833,69687,2006,1,5-06,,RMR-DAY-80,FALSE
7833,74551,2007,1,5-07,820,,FALSE
7836,77004,2007,1,50-07,,"Not preg (=palpated, P0)",FALSE
19962,142207,2017,1,5083,1423,PV 5083; PT 1423h,FALSE
12177,142205,2017,1,5087,1443,PV 5087; PT 1443H,FALSE
10183,73654,2007,1,51-07,,,FALSE
10183,73988,2007,1,52-07,,,FALSE
20703,142208,2017,1,5265,1400,PV 5265; PT 1400h,FALSE
10183,74266,2007,1,53-07,1128,,FALSE
21367,147188,2017,1,5301,807,PV 5301;PT 807h,FALSE
10183,74592,2007,1,54-07,855,,FALSE
10183,74702,2007,1,55-07,806,,FALSE
10183,75185,2007,1,56-07,936,,FALSE
10183,75449,2007,1,57-07,1137,,FALSE
10183,75941,2007,1,58-07,,palpated P0,FALSE
22008,139530,2016,1,5849,831,PV 5849; PT 831h  AXY OFF,FALSE
10183,76324,2007,1,59-07,936,palpated P0,FALSE
21964,141723,2016,1,5912,1135,PV 5912 PT 1135,FALSE
22049,142033,2016,1,5978,1114,breath laboured no wgt Axy off PV 5978; PT 1114h,FALSE
7836,69688,2006,1,6-06,858,FMR F..858,FALSE
7833,75044,2007,1,6-07,900,,FALSE
10183,76756,2007,1,60-07,,P0,FALSE
20033,139424,2016,1,6050,949,PV 6050; PT 0949h,FALSE
19740,150171,2017,1,6056,1102,PV 6056; PT 1102h,FALSE
23314,150267,2017,1,6088,1130,PV 6088; PT 1130h,FALSE
10183,77009,2007,1,61-07,,"Not preg (=palpated, P0)",FALSE
23290,150237,2017,1,6162,1037,PV 6162; PT 1037h,FALSE
21866,141788,2016,1,6171,,PV 6171,FALSE
23282,150327,2017,1,6181,1236,PV 6181; PT 1236h,FALSE
7704,73694,2007,1,62-07,,,FALSE
7704,73860,2007,1,63-07,,Not handled,FALSE
23324,150236,2017,1,6310,1153,PV 6310; PT 1153h,FALSE
7704,74201,2007,1,64-07,1019,,FALSE
7704,74660,2007,1,65-07,1149,,FALSE
7704,75111,2007,1,66-07,1214,,FALSE
7644,73650,2007,1,67-07,,,FALSE
7644,75038,2007,1,68-07,1050,,FALSE
7644,75485,2007,1,69-07,847,,FALSE
8398,69026,2006,1,7-06,1114,FMR I. F3. 0.5 at 1114.,FALSE
7833,75488,2007,1,7-07,1211,Not handled,FALSE
7644,75845,2007,1,70-07,,"Not preg (=palpated, P0)",FALSE
7833,68415,2006,1,8-06,,FMR I. R M.1.M,FALSE
7833,75849,2007,1,8-07,728,"Not preg (=palpated, P0)",FALSE
20317,132383,2016,1,83086,1445,PV 83086; PT 1445h; Very small testes,FALSE
7836,69546,2006,1,9-06,953,FMR I. F1. 953,FALSE
7833,76798,2007,1,9-07,,,FALSE
11192,87024,2009,1,A0001,1128,,FALSE
13673,86802,2009,1,A0002,1359,,FALSE
10272,86749,2009,1,A0003,1120,,FALSE
10311,87663,2009,1,A0005,1212,,FALSE
10324,86972,2009,1,A0006,1120,,FALSE
10754,87147,2009,1,A0007,1156,,FALSE
10752,86886,2009,1,A0008,1340,,FALSE
10407,87018,2009,1,A0009,1040,,FALSE
10408,86766,2009,1,A0010,1307,,FALSE
8742,87667,2009,1,A0011,1102,probably same female as F1132/-,FALSE
10062,87533,2009,1,A0012,1133,,FALSE
11191,86813,2009,1,A0013,1230,,FALSE
11176,86926,2009,1,A0014,1250,,FALSE
10127,87034,2009,1,A0015,1519,,FALSE
10761,86834,2009,1,A0017,1354,,FALSE
11190,86739,2009,1,A0018,1243,,FALSE
10265,87356,2009,1,A0021,1649,,FALSE
10062,87074,2009,1,A0022,1228,,FALSE
13673,87769,2009,1,A0023,1152,,FALSE
10168,86902,2009,1,A0024,1445,,FALSE
10102,86952,2009,1,A0025,1215,,FALSE
10095,86840,2009,1,A0027,1228,,FALSE
11159,86787,2009,1,A0028,1332,,FALSE
10122,86854,2009,1,A0029,1208,,FALSE
11200,87253,2009,1,A0030,1256,,FALSE
13684,86853,2009,1,A0031,1524,,FALSE
10456,87823,2009,1,A0032,955,,FALSE
10187,86801,2009,1,A0033,1451,,FALSE
10375,86763,2009,1,A0034,1006,,FALSE
10280,86779,2009,1,A0035,1500,,FALSE
10569,87621,2009,1,A0037,1115,very agitated;could not see lac nipples,FALSE
10710,87768,2009,1,A0038,1202,,FALSE
10148,86889,2009,1,A0039,1230,,FALSE
10052,87765,2009,1,A0040,1135,,FALSE
10344,86861,2009,1,A0041,1151,,FALSE
10717,87624,2009,1,A0042,1127,,FALSE
10086,87590,2009,1,A0043,1235,,FALSE
10265,86762,2009,1,A0045,1330,,FALSE
10182,87515,2009,1,A0046,1023,,FALSE
10761,87529,2009,1,A0047,945,,FALSE
10191,87059,2009,1,A0048,1355,,FALSE
10353,87016,2009,1,A0049,1220,,FALSE
10067,86875,2009,1,A0050,1103,,FALSE
11189,86724,2009,1,A0051,1412,,FALSE
10701,86884,2009,1,A0052,1120,,FALSE
10752,87584,2009,1,A0053,1243,,FALSE
10155,87299,2009,1,A0054,1302,,FALSE
10264,87076,2009,1,A0055,1345,,FALSE
11208,86725,2009,1,A0057,1259,,FALSE
10646,86883,2009,1,A0058,1144,,FALSE
10134,86772,2009,1,A0059,1430,,FALSE
10417,86869,2009,1,A0060,1059,,FALSE
10127,87888,2009,1,A0061,1120,,FALSE
10544,87894,2009,1,A0063,1409,,FALSE
10253,87012,2009,1,A0064,1100,,FALSE
10112,86970,2009,1,A0066,1105,,FALSE
10219,86706,2009,1,A0067,1251,,FALSE
10594,89919,2009,1,A0068,949,weight seems big; possibly read wrong,FALSE
10393,87645,2009,1,A0069,1355,,FALSE
11191,87094,2009,1,A0070,1252,,FALSE
10657,86967,2009,1,A0071,1108,,FALSE
10610,87027,2009,1,A0072,1431,NEEDS 2ND DNA,FALSE
10346,86818,2009,1,A0073,1515,,FALSE
13193,86742,2009,1,A0075,1230,,FALSE
8746,89301,2009,1,A0076,1141,,FALSE
11191,87798,2009,1,A0078,1130,,FALSE
10156,86910,2009,1,A0079,1438,,FALSE
11188,87808,2009,1,A0080,1313,,FALSE
10688,86736,2009,1,A0081,1347,,FALSE
10456,86827,2009,1,A0082,1242,,FALSE
10646,87580,2009,1,A0083,1236,,FALSE
10638,87480,2009,1,A0084,1244,,FALSE
10206,87719,2009,1,A0085,1340,,FALSE
10713,86866,2009,1,A0086,1248,,FALSE
10373,87420,2009,1,A0087,1341,,FALSE
10336,88854,2009,1,A0088,1027,,FALSE
8746,87030,2009,1,A0091,1320,,FALSE
10304,86694,2009,1,A0092,1422,Squirrel got loose before checking nipples,FALSE
10679,87784,2009,1,A0093,1406,,FALSE
10517,87000,2009,1,A0094,1225,,FALSE
10085,87563,2009,1,A0095,1020,,FALSE
10399,86904,2009,1,A0096,1434,,FALSE
13653,87587,2009,1,A0097,1046,,FALSE
10219,87566,2009,1,A0098,1111,,FALSE
10140,87514,2009,1,A0099,1001,,FALSE
10929,86877,2009,1,A0100,1303,,FALSE
10393,86792,2009,1,A0101,1254,,FALSE
13665,87845,2009,1,A0102,1256,,FALSE
10352,86782,2009,1,A0103,1230,,FALSE
11208,88028,2009,1,A0104,1213,,FALSE
13683,86745,2009,1,A0105,1127,,FALSE
10408,86766,2009,1,A0106,1307,,FALSE
10689,86737,2009,1,A0107,1437,,FALSE
13677,87391,2009,1,A0108,1224,,FALSE
10219,86878,2009,1,A0109,1430,,FALSE
13665,87078,2009,1,A0110,1152,,FALSE
10307,87817,2009,1,A0111,1315,,FALSE
10414,86819,2009,1,A0112,1245,,FALSE
10307,86826,2009,1,A0113,1225,,FALSE
13668,87648,2009,1,A0114,1405,,FALSE
10429,86821,2009,1,A0116,1321,,FALSE
10240,87112,2009,1,A0117,1221,,FALSE
11164,87831,2009,1,A0118,1045,,FALSE
10183,86761,2009,1,A0119,1530,,FALSE
10270,87775,2009,1,A0120,1210,,FALSE
10627,87654,2009,1,A0121,1034,,FALSE
8735,86781,2009,1,A0122,1445,,FALSE
13673,87973,2009,1,A0123,1237,,FALSE
13688,87711,2009,1,A0125,1122,,FALSE
11164,86935,2009,1,A0126,1115,,FALSE
13653,86807,2009,1,A0127,1222,,FALSE
13692,86698,2009,1,A0128,1305,,FALSE
10646,86708,2009,1,A0129,1147,,FALSE
11169,86847,2009,1,A0130,1449,,FALSE
10307,87570,2009,1,A0131,1247,,FALSE
13677,87705,2009,1,A0132,1151,,FALSE
10639,87838,2009,1,A0133,1038,,FALSE
10077,87031,2009,1,A0134,1355,,FALSE
10569,87527,2009,1,A0135,1245,,FALSE
11205,86740,2009,1,A0136,1210,,FALSE
10372,87804,2009,1,A0138,1120,,FALSE
10666,88458,2009,1,A0139,1054,,FALSE
10352,87525,2009,1,A0141,1130,,FALSE
10181,86922,2009,1,A0142,1245,,FALSE
10688,87042,2009,1,A0144,1300,,FALSE
10167,87565,2009,1,A0145,1335,,FALSE
10937,86873,2009,1,A0146,1210,,FALSE
10137,88380,2009,1,A0147,1012,,FALSE
11188,86898,2009,1,A0148,1345,,FALSE
10327,86892,2009,1,A0149,1321,,FALSE
10126,86803,2009,1,A0150,1334,,FALSE
10405,86950,2009,1,A0151,1510,pesola not found,FALSE
10645,86785,2009,1,A0152,1400,,FALSE
10629,87247,2009,1,A0153,1315,Swollen vulva,FALSE
10067,86717,2009,1,A0154,1353,,FALSE
10145,87145,2009,1,A0156,1255,,FALSE
10627,86863,2009,1,A0157,1205,,FALSE
10061,87131,2009,1,A0158,1157,,FALSE
10596,86894,2009,1,A0159,1159,,FALSE
10155,86930,2009,1,A0160,1316,,FALSE
10666,87726,2009,1,A0161,1052,,FALSE
10762,87530,2009,1,A0162,1000,,FALSE
10587,86721,2009,1,A0163,1230,,FALSE
10167,87011,2009,1,A0164,1145,,FALSE
10171,87523,2009,1,A0165,1350,,FALSE
11157,87664,2009,1,A0166,1300,,FALSE
13676,87390,2009,1,A0167,1211,,FALSE
10750,87882,2009,1,A0168,1435,,FALSE
10402,87573,2009,1,A0169,1220,,FALSE
11208,88460,2009,1,A0170,952,,FALSE
13683,87863,2009,1,A0171,1136,,FALSE
10190,86718,2009,1,A0172,1436,,FALSE
10748,86769,2009,1,A0173,1355,,FALSE
10342,86924,2009,1,A0174,1030,,FALSE
10242,87749,2009,1,A0175,1320,,FALSE
10422,87914,2009,1,A0176,1136,,FALSE
13678,87136,2009,1,A0177,1142,,FALSE
13670,86964,2009,1,A0178,1300,,FALSE
10262,86778,2009,1,A0179,1350,,FALSE
13677,86780,2009,1,A0180,1324,,FALSE
10353,86794,2009,1,A0181,1330,,FALSE
10752,86710,2009,1,A0182,1441,,FALSE
13663,86744,2009,1,A0183,1320,,FALSE
13664,86776,2009,1,A0184,1344,,FALSE
10401,86752,2009,1,A0185,1232,,FALSE
10713,87795,2009,1,A0186,1158,,FALSE
11208,87868,2009,1,A0187,1148,,FALSE
13670,86856,2009,1,A0188,1217,,FALSE
10937,87044,2009,1,A0189,1130,,FALSE
10095,87748,2009,1,A0190,1232,,FALSE
13193,86956,2009,1,A0191,1130,,FALSE
10712,87412,2009,1,A0192,1056,,FALSE
10402,87821,2009,1,A0193,1115,,FALSE
13660,87790,2009,1,A0194,1119,,FALSE
10102,86887,2009,1,A0195,1340,LAC? couldn't get milk,FALSE
10413,87675,2009,1,A0196,1010,,FALSE
10401,87707,2009,1,A0197,1400,"lost litter, pregnant again! First capture since 24 March",FALSE
10373,86876,2009,1,A0198,1543,,FALSE
10650,86713,2009,1,A0200,1216,,FALSE
10131,86992,2009,1,A0201,1415,,FALSE
10422,86790,2009,1,A0202,1407,,FALSE
10226,87038,2009,1,A0203,1421,Released after reading tags as female was handled 2 days ago,FALSE
10762,86697,2009,1,A0204,1413,,FALSE
13661,86726,2009,1,A0205,1330,,FALSE
10706,87090,2009,1,A0206,1420,,FALSE
10750,86934,2009,1,A0207,1158,,FALSE
10327,86751,2009,1,A0208,1355,,FALSE
10677,87121,2009,1,A0210,1335,,FALSE
10791,87728,2009,1,A0211,1041,,FALSE
10762,86835,2009,1,A0212,1210,,FALSE
10594,87409,2009,1,A0214,1209,"Had a notch in the right ear, missed nest?",FALSE
10610,87386,2009,1,A0215,1248,,FALSE
10334,86817,2009,1,A0216,1415,,FALSE
11190,86920,2009,1,A0217,1339,,FALSE
10112,86824,2009,1,A0218,1325,,FALSE
13672,86857,2009,1,A0219,1423,,FALSE
10390,86931,2009,1,A0220,1430,,FALSE
10112,87773,2009,1,A0221,1059,,FALSE
8746,86746,2009,1,A0222,1256,,FALSE
11584,87729,2009,1,A0223,1421,,FALSE
10713,87387,2009,1,A0224,1142,,FALSE
11175,86867,2009,1,A0225,1454,,FALSE
10215,86859,2009,1,A0226,1425,,FALSE
10182,86994,2009,1,A0227,1500,,FALSE
13670,87731,2009,1,A0228,1006,,FALSE
10937,86738,2009,1,A0229,1300,,FALSE
10271,86773,2009,1,A0230,1129,,FALSE
10467,87577,2009,1,A0231,1056,,FALSE
10087,86815,2009,1,A0232,1327,lac? Couldn't get any milk,FALSE
10096,87032,2009,1,A0234,1516,,FALSE
11206,87219,2009,1,A0235,,,FALSE
11191,86874,2009,1,A0236,1355,,FALSE
10467,86828,2009,1,A0237,1431,,FALSE
11159,87830,2009,1,A0238,1011,,FALSE
10544,86753,2009,1,A0239,1347,"L ear notched; possible mating chase, two uncolored males in tree, one buzzing",FALSE
10106,86727,2009,1,A0240,1314,,FALSE
11204,86929,2009,1,A0242,1255,,FALSE
10645,86933,2009,1,A0243,1450,,FALSE
10717,86786,2009,1,A0244,1450,,FALSE
10139,86759,2009,1,A0245,1458,,FALSE
10311,86913,2009,1,A0246,1244,,FALSE
10712,86917,2009,1,A0247,1446,,FALSE
10688,86846,2009,1,A0248,1444,,FALSE
10465,87575,2009,1,A0249,1039,,FALSE
10311,87257,2009,1,A0250,1306,,FALSE
10295,87509,2009,1,A0251,1240,"Pezola lost, couldn't take weight",FALSE
10140,86993,2009,1,A0252,1149,,FALSE
11192,87656,2009,1,A0254,1109,,FALSE
10311,88495,2009,1,A0255,1135,,FALSE
13667,87375,2009,1,A0256,1353,released (been handled for less than 3 days),FALSE
10219,87300,2009,1,A0258,1023,,FALSE
10748,87231,2009,1,A0259,1217,,FALSE
10137,87098,2009,1,A0260,1438,,FALSE
10113,87152,2009,1,A0261,1205,Old colours from 2007,FALSE
10077,87393,2009,1,A0262,1325,,FALSE
10577,87623,2009,1,A0263,1052,bleeding nose,FALSE
10643,87186,2009,1,A0264,1215,,FALSE
11191,87547,2009,1,A0265,1305,,FALSE
10346,87262,2009,1,A0266,1119,,FALSE
10395,87361,2009,1,A0267,1215,,FALSE
10752,87125,2009,1,A0268,1103,,FALSE
10666,87365,2009,1,A0269,1305,,FALSE
10331,87404,2009,1,A0272,1355,,FALSE
8735,87062,2009,1,A0273,1023,Escaped,FALSE
10127,87280,2009,1,A0274,1226,"Collar was rubbing on neck, seemed to have rubbed off some skin but not sure.",FALSE
10156,87208,2009,1,A0275,1419,,FALSE
10624,87494,2009,1,A0276,938,,FALSE
10308,87892,2009,1,A0277,1314,"left eye wounded and bleeding, half-closed",FALSE
10757,87333,2009,1,A0279,1249,,FALSE
10095,87081,2009,1,A0280,1311,,FALSE
10643,87611,2009,1,A0281,1129,,FALSE
13666,87115,2009,1,A0282,1145,,FALSE
11208,87680,2009,1,A0283,1223,,FALSE
10190,87670,2009,1,A0286,1154,,FALSE
10312,87403,2009,1,A0288,1137,,FALSE
11159,87071,2009,1,A0289,1020,Swollen vulva,FALSE
10327,87087,2009,1,A0290,1050,,FALSE
13684,87096,2009,1,A0292,1456,,FALSE
13660,87501,2009,1,A0293,1222,,FALSE
10126,87064,2009,1,A0296,1400,,FALSE
10304,87198,2009,1,A0297,945,,FALSE
11159,87500,2009,1,A0299,1330,,FALSE
10571,87069,2009,1,A0300,1100,Swollen vulva,FALSE
10183,87757,2009,1,A0301,1006,,FALSE
10640,87055,2009,1,A0302,1138,,FALSE
10650,87499,2009,1,A0303,1128,,FALSE
11198,87312,2009,1,A0304,1005,,FALSE
10293,87400,2009,1,A0305,1305,COLOURS WERE FROM LAST YEAR BUT WERE LEFT IN,FALSE
10456,87118,2009,1,A0306,1055,,FALSE
13655,87642,2009,1,A0307,1054,,FALSE
