grid,date,tag_left,tag_right,poop_id,poop_time,comments,id,obs,locx,locy,weight,trapping_id,squirrel_id
SU,2011-05-31,H1086,H1087,C1369,1123,Released,2510,LBD,-3.0,6.0,0,104038,13092
SU,2011-08-09,F8024,F8025,C1387,1657,NA,2523,LBD,6.5,16.0,235,106803,12301
SU,2011-08-09,F8024,F8025,C1387,1657,NA,2523,LBD,6.5,16.0,235,106804,12301
SU,2011-05-01,F7178,F7181,C1389,1145,Rattle at E11?,2525,LBD,5.0,11.5,220,103013,11998
SU,2011-05-01,F7178,F7181,C1389,1145,Rattle at E11?,2525,LBD,5.0,11.5,220,103014,11998
SU,2011-05-26,H1099,H1100,C1399,NA,collar:1,2532,LBD,-3.0,15.5,232,103825,11448
SU,2011-05-26,H1099,H1100,C1399,NA,collar:1,2532,LBD,-3.0,15.5,232,103826,11448
SU,2011-04-29,F6144,F6145,C1404,1143,colar not on when weighted,2534,LBD,2.5,8.5,240,102956,11577
SU,2011-04-29,F6144,F6145,C1404,1143,colar not on when weighted,2534,LBD,2.5,8.5,240,102957,11577
SU,2011-05-05,F8378,F8379,C1419,836,NA,2543,LBD,15.0,11.0,235,103167,12432
SU,2011-05-05,F8378,F8379,C1419,836,NA,2543,LBD,15.0,11.0,235,103168,12432
SU,2011-06-07,F7255,F7256,C1440,1029,NA,2557,LBD,14.0,7.5,231,104271,12026
SU,2011-06-07,F7255,F7256,C1440,1029,NA,2557,LBD,14.0,7.5,231,104272,12026
SU,2011-05-06,F7177,F5610,C1448,1137,NA,2560,LBD,1.0,19.0,241,103196,11997
SU,2011-05-06,F7177,F5610,C1448,1137,NA,2560,LBD,1.0,19.0,241,103197,11997
SU,2011-08-09,F8382,F8383,C1459,1019,NA,2564,LBD,17.0,9.0,240,106807,12434
SU,2011-08-09,F8382,F8383,C1459,1019,NA,2564,LBD,17.0,9.0,240,106808,12434
SU,2011-05-03,F3842,F3843,C1465,1100,NA,2569,LBD,14.0,7.5,245,103069,11084
SU,2011-05-03,F3842,F3843,C1465,1100,NA,2569,LBD,14.0,7.5,245,103070,11084
SU,2011-05-04,F6144,F6145,C1471,1033,Really bad neck,2573,LBD,2.5,9.5,232,103115,11577
SU,2011-05-04,F6144,F6145,C1471,1033,Really bad neck,2573,LBD,2.5,9.5,232,103116,11577
SU,2011-05-08,F3842,F3843,C1490,940,NA,2581,LBD,20.0,6.0,255,103230,11084
